TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1963825,0.453125,0.45310098585488917,0.0,0.0,0.746+/-0.045,0.779+/-0.024,0.792+/-0.016,0.807+/-0.03,0.846+/-0.028
CHEMBL1963827,0.49765625,0.49593225421617104,0.0,0.0,0.847+/-0.029,0.854+/-0.024,0.871+/-0.016,0.888+/-0.007,0.897+/-0.01
CHEMBL1963831,0.38359375,0.38720552867344915,0.0,0.0,0.759+/-0.051,0.794+/-0.032,0.819+/-0.019,0.833+/-0.02,0.865+/-0.033
CHEMBL1963838,0.5,0.5,0.0,0.0,0.568+/-0.049,0.588+/-0.033,0.626+/-0.036,0.667+/-0.04,
CHEMBL1963910,0.5,0.5,0.0,0.0,0.633+/-0.05,0.626+/-0.039,0.649+/-0.063,0.65+/-0.052,
CHEMBL1963969,0.5,0.5,0.0,0.0,0.541+/-0.036,0.55+/-0.03,0.553+/-0.034,0.573+/-0.049,
CHEMBL1964005,0.5,0.4936052220606886,0.0,0.0,0.652+/-0.075,0.676+/-0.079,0.719+/-0.021,0.691+/-0.077,
CHEMBL1964101,0.5,0.4988705974589096,0.0,0.0,0.731+/-0.052,0.774+/-0.02,0.787+/-0.015,0.804+/-0.017,0.824+/-0.01
CHEMBL1964106,0.33515625,0.33781772431277973,0.0,0.0,0.65+/-0.084,0.715+/-0.037,0.752+/-0.027,0.805+/-0.042,0.812+/-0.085
CHEMBL1964115,0.43046875,0.42637731271857593,0.0,0.0,0.771+/-0.02,0.788+/-0.024,0.809+/-0.022,0.828+/-0.02,0.821+/-0.049
CHEMBL2218946,0.494140625,0.48868599468282325,0.0,0.0,0.774+/-0.029,0.781+/-0.035,0.773+/-0.05,0.873+/-0.064,
CHEMBL2218957,0.5,0.49245904432821336,0.0,0.0,0.83+/-0.03,0.867+/-0.029,0.896+/-0.029,0.892+/-0.042,
CHEMBL2218959,0.5,0.49245904432821336,0.0,0.0,0.822+/-0.044,0.861+/-0.035,0.862+/-0.025,0.921+/-0.067,
CHEMBL2218989,0.5,0.49245904432821336,0.0,0.0,0.905+/-0.025,0.914+/-0.018,0.919+/-0.023,0.915+/-0.053,
CHEMBL2218994,0.482421875,0.47776355130602166,0.0,0.0,0.652+/-0.04,0.672+/-0.019,0.682+/-0.047,0.74+/-0.083,
CHEMBL2219020,0.5,0.49245904432821336,0.0,0.0,0.538+/-0.042,0.528+/-0.052,0.557+/-0.046,0.603+/-0.052,
CHEMBL2219026,0.4765625,0.47399050166063156,0.0,0.0,0.713+/-0.114,0.828+/-0.023,0.85+/-0.018,0.882+/-0.057,
