TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train,256_train
CHEMBL1963831,0.38359375,0.38720552867344915,0.0,0.0,0.537+/-0.089,0.545+/-0.066,0.589+/-0.066,0.608+/-0.049,0.631+/-0.066
CHEMBL1963838,0.5,0.5,0.0,0.0,0.522+/-0.021,0.512+/-0.018,0.51+/-0.021,0.537+/-0.049,
CHEMBL1963910,0.5,0.5,0.0,0.0,0.508+/-0.029,0.499+/-0.033,0.507+/-0.017,0.523+/-0.041,
CHEMBL1963969,0.5,0.5,0.0,0.0,0.484+/-0.023,0.471+/-0.022,0.475+/-0.024,0.458+/-0.023,
CHEMBL1964005,0.5,0.4936052220606886,0.0,0.0,0.492+/-0.018,0.478+/-0.018,0.458+/-0.012,0.452+/-0.048,
CHEMBL1964101,0.5,0.4988705974589096,0.0,0.0,0.646+/-0.04,0.642+/-0.043,0.66+/-0.007,0.663+/-0.006,0.668+/-0.01
CHEMBL1964106,0.33515625,0.33781772431277973,0.0,0.0,0.556+/-0.1,0.579+/-0.05,0.602+/-0.018,0.604+/-0.02,0.629+/-0.09
CHEMBL1964115,0.43046875,0.42637731271857593,0.0,0.0,0.686+/-0.015,0.686+/-0.01,0.685+/-0.012,0.69+/-0.015,0.683+/-0.029
CHEMBL2218946,0.494140625,0.48868599468282325,0.0,0.0,0.729+/-0.028,0.746+/-0.025,0.767+/-0.041,0.843+/-0.074,
CHEMBL2218957,0.5,0.49245904432821336,0.0,0.0,0.768+/-0.012,0.774+/-0.017,0.772+/-0.041,0.782+/-0.075,
CHEMBL2218959,0.5,0.49245904432821336,0.0,0.0,0.835+/-0.016,0.836+/-0.016,0.826+/-0.034,0.841+/-0.079,
CHEMBL2218989,0.5,0.49245904432821336,0.0,0.0,0.875+/-0.009,0.879+/-0.011,0.88+/-0.024,0.871+/-0.058,
CHEMBL2218994,0.482421875,0.47776355130602166,0.0,0.0,0.584+/-0.045,0.601+/-0.024,0.614+/-0.034,0.613+/-0.11,
CHEMBL2219020,0.5,0.49245904432821336,0.0,0.0,0.514+/-0.018,0.498+/-0.016,0.515+/-0.028,0.509+/-0.07,
CHEMBL2219026,0.4765625,0.47399050166063156,0.0,0.0,0.596+/-0.133,0.666+/-0.062,0.708+/-0.03,0.741+/-0.073,
CHEMBL2219028,0.5,0.49245904432821336,0.0,0.0,0.491+/-0.031,0.483+/-0.019,0.492+/-0.04,0.488+/-0.07,
CHEMBL2219040,0.5,0.49245904432821336,0.0,0.0,0.777+/-0.042,0.799+/-0.014,0.795+/-0.018,0.749+/-0.065,
CHEMBL2219043,0.5,0.49245904432821336,0.0,0.0,0.715+/-0.011,0.712+/-0.026,0.734+/-0.043,0.723+/-0.113,
CHEMBL2219045,0.494140625,0.48868599468282325,0.0,0.0,0.753+/-0.012,0.762+/-0.012,0.772+/-0.025,0.774+/-0.073,
CHEMBL2219047,0.482421875,0.47776355130602166,0.0,0.0,0.804+/-0.016,0.806+/-0.021,0.803+/-0.028,0.866+/-0.07,
CHEMBL2219049,0.5,0.49245904432821336,0.0,0.0,0.783+/-0.016,0.791+/-0.022,0.79+/-0.036,0.809+/-0.045,
CHEMBL2219050,0.5,0.49245904432821336,0.0,0.0,0.635+/-0.014,0.642+/-0.027,0.652+/-0.055,0.669+/-0.1,
CHEMBL2219059,0.5,0.49245904432821336,0.0,0.0,0.563+/-0.073,0.573+/-0.059,0.587+/-0.034,0.602+/-0.11,
CHEMBL2219070,0.482421875,0.47776355130602166,0.0,0.0,0.629+/-0.1,0.682+/-0.049,0.714+/-0.034,0.738+/-0.068,
CHEMBL2219075,0.5,0.49245904432821336,0.0,0.0,0.895+/-0.013,0.899+/-0.01,0.904+/-0.023,0.905+/-0.065,
CHEMBL2219076,0.494140625,0.48868599468282325,0.0,0.0,0.886+/-0.009,0.89+/-0.012,0.892+/-0.017,0.87+/-0.073,
CHEMBL2219088,0.5,0.49245904432821336,0.0,0.0,0.653+/-0.087,0.711+/-0.021,0.715+/-0.04,0.687+/-0.072,
CHEMBL2219093,0.484375,0.48422477299442246,0.0,0.0,0.723+/-0.092,0.752+/-0.033,0.754+/-0.053,0.741+/-0.101,
CHEMBL2219098,0.482421875,0.47776355130602166,0.0,0.0,0.53+/-0.037,0.541+/-0.036,0.533+/-0.039,0.566+/-0.09,
CHEMBL2219102,0.443359375,0.4459861469402566,0.0,0.0,0.515+/-0.061,0.525+/-0.047,0.546+/-0.031,0.56+/-0.097,
CHEMBL2219104,0.484375,0.48422477299442246,0.0,0.0,0.506+/-0.067,0.556+/-0.04,0.559+/-0.055,0.53+/-0.085,
CHEMBL2219113,0.5,0.49245904432821336,0.0,0.0,0.553+/-0.036,0.556+/-0.03,0.568+/-0.021,0.573+/-0.062,
CHEMBL2219115,0.484375,0.48422477299442246,0.0,0.0,0.622+/-0.042,0.64+/-0.031,0.641+/-0.043,0.644+/-0.092,
CHEMBL2219120,0.494140625,0.48868599468282325,0.0,0.0,0.739+/-0.046,0.758+/-0.022,0.747+/-0.038,0.785+/-0.066,
CHEMBL2219146,0.5,0.49245904432821336,0.0,0.0,0.637+/-0.073,0.681+/-0.031,0.677+/-0.045,0.678+/-0.12,
CHEMBL2219150,0.5,0.49245904432821336,0.0,0.0,0.697+/-0.05,0.67+/-0.07,0.715+/-0.037,0.709+/-0.066,
CHEMBL2219159,0.484375,0.48422477299442246,0.0,0.0,0.516+/-0.025,0.533+/-0.032,0.546+/-0.046,0.563+/-0.067,
CHEMBL2219161,0.5,0.49245904432821336,0.0,0.0,0.667+/-0.016,0.676+/-0.02,0.67+/-0.032,0.727+/-0.096,
CHEMBL2219164,0.5,0.49245904432821336,0.0,0.0,0.804+/-0.02,0.813+/-0.02,0.829+/-0.037,0.838+/-0.086,
CHEMBL2219174,0.5,0.49245904432821336,0.0,0.0,0.671+/-0.041,0.69+/-0.018,0.706+/-0.036,0.717+/-0.078,
CHEMBL2219175,0.4765625,0.47399050166063156,0.0,0.0,0.571+/-0.019,0.569+/-0.019,0.599+/-0.032,0.641+/-0.101,
