TASK_ID,16_train,32_train,64_train,128_train,256_train
CHEMBL1964115,0.05+/-0.059,0.08+/-0.057,0.158+/-0.066,0.244+/-0.043,0.361+/-0.096
CHEMBL2218994,-0.048+/-0.098,0.002+/-0.008,-0.027+/-0.071,-0.025+/-0.093,
CHEMBL2219020,-0.005+/-0.04,0.015+/-0.02,0.069+/-0.064,0.16+/-0.188,
CHEMBL2219026,0.003+/-0.014,0.011+/-0.018,0.024+/-0.044,0.049+/-0.443,
CHEMBL2219028,-0.02+/-0.04,-0.038+/-0.065,-0.025+/-0.035,-0.037+/-0.098,
CHEMBL2219040,-0.01+/-0.033,0.013+/-0.063,-0.172+/-0.343,-0.781+/-1.576,
CHEMBL2219045,0.01+/-0.069,0.062+/-0.046,0.086+/-0.054,0.181+/-0.159,
CHEMBL2219049,0.019+/-0.046,0.054+/-0.047,0.05+/-0.033,0.071+/-0.312,
CHEMBL2219050,-0.021+/-0.022,-0.016+/-0.032,-0.022+/-0.075,-0.182+/-0.748,
CHEMBL2219070,0.112+/-0.207,0.156+/-0.238,0.319+/-0.16,0.299+/-0.443,
CHEMBL2219088,0.027+/-0.045,0.067+/-0.073,0.083+/-0.154,0.166+/-0.137,
CHEMBL2219098,-0.032+/-0.05,-0.026+/-0.046,0.008+/-0.02,0.068+/-0.129,
CHEMBL2219104,0.002+/-0.06,0.023+/-0.072,0.049+/-0.111,0.037+/-0.28,
CHEMBL2219113,0.041+/-0.059,-0.013+/-0.246,0.085+/-0.119,0.056+/-0.191,
CHEMBL2219150,0.051+/-0.048,0.061+/-0.075,0.139+/-0.097,0.115+/-0.148,
CHEMBL2219159,0.067+/-0.116,0.087+/-0.146,-0.091+/-0.606,-0.072+/-0.73,
CHEMBL2219175,0.017+/-0.065,0.021+/-0.07,0.104+/-0.178,0.019+/-0.254,
CHEMBL2219180,0.036+/-0.073,0.082+/-0.054,0.195+/-0.113,0.247+/-0.221,
CHEMBL2219189,0.07+/-0.17,0.082+/-0.136,0.136+/-0.108,0.175+/-0.29,
CHEMBL2219191,0.05+/-0.113,0.185+/-0.171,0.36+/-0.167,0.336+/-0.266,
CHEMBL2219194,-0.013+/-0.053,0.018+/-0.055,0.02+/-0.098,-0.0+/-0.119,
CHEMBL2219211,0.0+/-0.057,0.042+/-0.094,0.117+/-0.112,-0.541+/-2.012,
CHEMBL2219225,0.015+/-0.056,0.078+/-0.102,0.121+/-0.051,0.121+/-0.483,
CHEMBL2219242,0.013+/-0.04,-0.034+/-0.043,-0.015+/-0.073,0.041+/-0.252,
CHEMBL2219272,0.082+/-0.088,0.146+/-0.09,0.202+/-0.071,0.309+/-0.154,
CHEMBL2219283,0.008+/-0.112,0.007+/-0.031,0.012+/-0.148,-0.062+/-0.189,
CHEMBL2219305,0.014+/-0.036,0.082+/-0.102,0.108+/-0.164,0.144+/-0.36,
CHEMBL2219352,-0.101+/-0.165,-0.076+/-0.122,-0.074+/-0.095,-0.026+/-0.06,
CHEMBL2219355,0.007+/-0.063,0.025+/-0.075,0.03+/-0.179,0.186+/-0.178,
CHEMBL2219363,0.094+/-0.183,0.045+/-0.107,0.101+/-0.188,0.097+/-0.716,
CHEMBL2219404,0.054+/-0.118,0.135+/-0.136,0.19+/-0.174,0.373+/-0.152,
CHEMBL2219408,0.012+/-0.065,0.07+/-0.055,0.083+/-0.086,0.219+/-0.11,
CHEMBL2354305,-0.045+/-0.119,-0.003+/-0.062,0.013+/-0.018,0.039+/-0.086,
CHEMBL3214944,-0.017+/-0.066,-0.017+/-0.07,0.033+/-0.06,0.108+/-0.028,0.164+/-0.059
CHEMBL3431930,0.42+/-0.121,0.522+/-0.054,0.589+/-0.043,0.641+/-0.021,0.652+/-0.026
CHEMBL3431932,0.157+/-0.093,0.223+/-0.067,0.295+/-0.041,0.347+/-0.045,0.4+/-0.046
CHEMBL3431933,-0.005+/-0.049,0.038+/-0.044,0.066+/-0.085,0.157+/-0.057,0.287+/-0.034
CHEMBL3705334,0.343+/-0.105,0.463+/-0.063,0.547+/-0.057,0.586+/-0.101,
CHEMBL3705469,-0.035+/-0.092,0.075+/-0.064,0.191+/-0.07,0.27+/-0.142,
